Name,Type of Parliamentarian,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation
"Reid, Scott","MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)
MP (2000/11/27 - 2004/06/27)
","Lanark--Frontenac--Kingston (2015/10/19 - )
Lanark--Frontenac--Lennox and Addington (2004/06/28 - 2015/10/18)
Lanark--Carleton (2000/11/27 - 2004/06/27)
","Ontario
Ontario
Ontario
",M,"Conservative Party of Canada (2003/12/23 - )
Canadian Reform Conservative Alliance (2000/11/27 - 2003/12/22)
"
"Allison, Dean","MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)
","Niagara West (2015/10/19 - )
Niagara West--Glanbrook (2004/06/28 - 2015/10/18)
","Ontario
Ontario
",M,"Conservative Party of Canada (2004/06/28 - )
"
"Bezan, James","MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)
","Selkirk--Interlake--Eastman (2015/10/19 - )
Selkirk--Interlake (2004/06/28 - 2015/10/18)
","Manitoba
Manitoba
",M,"Conservative Party of Canada (2004/06/28 - )
"
"Julian, Peter","MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)
","New Westminster--Burnaby (2015/10/19 - )
Burnaby--New Westminster (2004/06/28 - 2015/10/18)
","British Columbia
British Columbia
",M,"New Democratic Party (2004/06/28 - )
"
"Lukiwski, Tom","MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)
","Moose Jaw--Lake Centre--Lanigan (2015/10/19 - )
Regina--Lumsden--Lake Centre (2004/06/28 - 2015/10/18)
","Saskatchewan
Saskatchewan
",M,"Conservative Party of Canada (2004/06/28 - )
"
"Poilievre, Pierre","MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)
","Carleton (2015/10/19 - )
Nepean--Carleton (2004/06/28 - 2015/10/18)
","Ontario
Ontario
",M,"Conservative Party of Canada (2004/06/28 - )
"
"Bains, Navdeep Singh","MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)
","Mississauga--Malton (2015/10/19 - )
Mississauga--Brampton South (2004/06/28 - 2011/05/01)
","Ontario
Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2004/06/28 - 2011/05/01)
"
"Holland, Mark","MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)
","Ajax (2015/10/19 - )
Ajax--Pickering (2004/06/28 - 2011/05/01)
","Ontario
Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2004/06/28 - 2011/05/01)
"
"Ratansi, Yasmin","MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)
","Don Valley East (2015/10/19 - )
Don Valley East (2004/06/28 - 2011/05/01)
","Ontario
Ontario
",F,"Independent (2020/11/09 - )
Liberal Party of Canada (2015/10/19 - 2020/11/08)
Liberal Party of Canada (2004/06/28 - 2011/05/01)
"
"Rodriguez, Pablo","MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)
","Honoré-Mercier (2015/10/19 - )
Honoré-Mercier (2004/06/28 - 2011/05/01)
","Quebec
Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2004/06/28 - 2011/05/01)
"
"Rota, Anthony","MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)
","Nipissing--Timiskaming (2015/10/19 - )
Nipissing--Timiskaming (2004/06/28 - 2011/05/01)
","Ontario
Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2004/06/28 - 2011/05/01)
"
"Bagnell, Larry","MP (2015/10/19 - )
MP (2000/11/27 - 2011/05/01)
","Yukon (2015/10/19 - )
Yukon (2000/11/27 - 2011/05/01)
","Yukon
Yukon
",M,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2000/11/27 - 2011/05/01)
"
"Sgro, Judy","MP (2015/10/19 - )
MP (1999/11/15 - 2015/10/18)
","Humber River--Black Creek (2015/10/19 - )
York West (1999/11/15 - 2015/10/18)
","Ontario
Ontario
",F,"Liberal Party of Canada (1999/11/15 - )
"
"Bennett, Carolyn","MP (2015/10/19 - )
MP (1997/06/02 - 2015/10/18)
","Toronto--St. Paul's (2015/10/19 - )
St. Paul's (1997/06/02 - 2015/10/18)
","Ontario
Ontario
",F,"Liberal Party of Canada (1997/06/02 - )
"
"Aboultaif, Ziad","MP (2015/10/19 - )
","Edmonton Manning (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Alleslev, Leona","MP (2015/10/19 - )
","Aurora--Oak Ridges--Richmond Hill (2015/10/19 - )
","Ontario
",F,"Conservative Party of Canada (2018/09/17 - )
Liberal Party of Canada (2015/10/19 - 2018/09/16)
"
"Amos, William","MP (2015/10/19 - )
","Pontiac (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Anandasangaree, Gary","MP (2015/10/19 - )
","Scarborough--Rouge Park (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Arnold, Mel","MP (2015/10/19 - )
","North Okanagan--Shuswap (2015/10/19 - )
","British Columbia
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Arseneault, René","MP (2015/10/19 - )
","Madawaska--Restigouche (2015/10/19 - )
","New Brunswick
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Arya, Chandra","MP (2015/10/19 - )
","Nepean (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Badawey, Vance","MP (2015/10/19 - )
","Niagara Centre (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Barsalou-Duval, Xavier","MP (2015/10/19 - )
","Pierre-Boucher--Les Patriotes--Verchères (2015/10/19 - )
","Quebec
",M,"Bloc Québécois (2015/10/19 - )
"
"Beaulieu, Mario","MP (2015/10/19 - )
","La Pointe-de-l'Île (2015/10/19 - )
","Quebec
",M,"Bloc Québécois (2015/10/19 - )
"
"Beech, Terry","MP (2015/10/19 - )
","Burnaby North--Seymour (2015/10/19 - )
","British Columbia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Berthold, Luc","MP (2015/10/19 - )
","Mégantic--L'Érable (2015/10/19 - )
","Quebec
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Bibeau, Marie-Claude","MP (2015/10/19 - )
","Compton--Stanstead (2015/10/19 - )
","Quebec
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Bittle, Chris","MP (2015/10/19 - )
","St. Catharines (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Blaikie, Daniel","MP (2015/10/19 - )
","Elmwood--Transcona (2015/10/19 - )
","Manitoba
",M,"New Democratic Party (2015/10/19 - )
"
"Blair, Bill","MP (2015/10/19 - )
","Scarborough Southwest (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Blaney, Rachel","MP (2015/10/19 - )
","North Island--Powell River (2015/10/19 - )
","British Columbia
",F,"New Democratic Party (2015/10/19 - )
"
"Boudrias, Michel","MP (2015/10/19 - )
","Terrebonne (2015/10/19 - )
","Quebec
",M,"Bloc Québécois (2018/06/06 - )
Groupe parlementaire québécois  (2018/02/28 - 2018/06/05)
Bloc Québécois (2015/10/19 - 2018/02/27)
"
"Brassard, John","MP (2015/10/19 - )
","Barrie--Innisfil (2015/10/19 - )
","Ontario
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Bratina, Bob","MP (2015/10/19 - )
","Hamilton East--Stoney Creek (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Cannings, Richard","MP (2015/10/19 - )
","South Okanagan--West Kootenay (2015/10/19 - )
","British Columbia
",M,"New Democratic Party (2015/10/19 - )
"
"Carr, Jim","MP (2015/10/19 - )
","Winnipeg South Centre (2015/10/19 - )
","Manitoba
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Chagger, Bardish","MP (2015/10/19 - )
","Waterloo (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Champagne, François-Philippe","MP (2015/10/19 - )
","Saint-Maurice--Champlain (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Chen, Shaun","MP (2015/10/19 - )
","Scarborough North (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Cooper, Michael","MP (2015/10/19 - )
","St. Albert--Edmonton (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Cormier, Serge","MP (2015/10/19 - )
","Acadie--Bathurst (2015/10/19 - )
","New Brunswick
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Dabrusin, Julie","MP (2015/10/19 - )
","Toronto--Danforth (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Damoff, Pam","MP (2015/10/19 - )
","Oakville North--Burlington (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Deltell, Gérard","MP (2015/10/19 - )
","Louis-Saint-Laurent (2015/10/19 - )
","Quebec
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Dhillon, Anju","MP (2015/10/19 - )
","Dorval--Lachine--LaSalle (2015/10/19 - )
","Quebec
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Diotte, Kerry","MP (2015/10/19 - )
","Edmonton Griesbach (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Doherty, Todd","MP (2015/10/19 - )
","Cariboo--Prince George (2015/10/19 - )
","British Columbia
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Drouin, Francis","MP (2015/10/19 - )
","Glengarry--Prescott--Russell (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Duclos, Jean-Yves","MP (2015/10/19 - )
","Québec (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Duguid, Terry","MP (2015/10/19 - )
","Winnipeg South (2015/10/19 - )
","Manitoba
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Duvall, Scott","MP (2015/10/19 - )
","Hamilton Mountain (2015/10/19 - )
","Ontario
",M,"New Democratic Party (2015/10/19 - )
"
"Dzerowicz, Julie","MP (2015/10/19 - )
","Davenport (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Ehsassi, Ali","MP (2015/10/19 - )
","Willowdale (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"El-Khoury, Fayçal","MP (2015/10/19 - )
","Laval--Les Îles (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Ellis, Neil R.","MP (2015/10/19 - )
","Bay of Quinte (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Erskine-Smith, Nathaniel","MP (2015/10/19 - )
","Beaches--East York (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Fergus, Greg","MP (2015/10/19 - )
","Hull--Aylmer (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Fillmore, Andy","MP (2015/10/19 - )
","Halifax (2015/10/19 - )
","Nova Scotia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Finnigan, Pat","MP (2015/10/19 - )
","Miramichi--Grand Lake (2015/10/19 - )
","New Brunswick
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Fisher, Darren","MP (2015/10/19 - )
","Dartmouth--Cole Harbour (2015/10/19 - )
","Nova Scotia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Fonseca, Peter","MP (2015/10/19 - )
","Mississauga East--Cooksville (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Fortin, Rhéal Éloi","MP (2015/10/19 - )
","Rivière-du-Nord (2015/10/19 - )
","Quebec
",M,"Bloc Québécois (2018/09/17 - )
Québec debout (2018/06/06 - 2018/09/16)
Groupe parlementaire québécois  (2018/02/28 - 2018/06/05)
Bloc Québécois (2015/10/19 - 2018/02/27)
"
"Fragiskatos, Peter","MP (2015/10/19 - )
","London North Centre (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Fraser, Sean","MP (2015/10/19 - )
","Central Nova (2015/10/19 - )
","Nova Scotia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Genuis, Garnett","MP (2015/10/19 - )
","Sherwood Park--Fort Saskatchewan (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Gerretsen, Mark","MP (2015/10/19 - )
","Kingston and the Islands (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Gill, Marilène","MP (2015/10/19 - )
","Manicouagan (2015/10/19 - )
","Quebec
",F,"Bloc Québécois (2015/10/19 - )
"
"Gladu, Marilyn","MP (2015/10/19 - )
","Sarnia--Lambton (2015/10/19 - )
","Ontario
",F,"Conservative Party of Canada (2015/10/19 - )
"
"Godin, Joël","MP (2015/10/19 - )
","Portneuf--Jacques-Cartier (2015/10/19 - )
","Quebec
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Gould, Karina","MP (2015/10/19 - )
","Burlington (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Hajdu, Patricia","MP (2015/10/19 - )
","Thunder Bay--Superior North (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Harder, Rachael","MP (2015/10/19 - )
","Lethbridge (2015/10/19 - )
","Alberta
",F,"Conservative Party of Canada (2015/10/19 - )
"
"Hardie, Ken","MP (2015/10/19 - )
","Fleetwood--Port Kells (2015/10/19 - )
","British Columbia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Housefather, Anthony","MP (2015/10/19 - )
","Mount Royal (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Hussen, Ahmed","MP (2015/10/19 - )
","York South--Weston (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Hutchings, Gudie","MP (2015/10/19 - )
","Long Range Mountains (2015/10/19 - )
","Newfoundland and Labrador
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Iacono, Angelo","MP (2015/10/19 - )
","Alfred-Pellan (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Jeneroux, Matt","MP (2015/10/19 - )
","Edmonton Riverbend (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Johns, Gord","MP (2015/10/19 - )
","Courtenay--Alberni (2015/10/19 - )
","British Columbia
",M,"New Democratic Party (2015/10/19 - )
"
"Joly, Mélanie","MP (2015/10/19 - )
","Ahuntsic-Cartierville (2015/10/19 - )
","Quebec
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Jordan, Bernadette","MP (2015/10/19 - )
","South Shore--St. Margarets (2015/10/19 - )
","Nova Scotia
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Jowhari, Majid","MP (2015/10/19 - )
","Richmond Hill (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Kelly, Pat","MP (2015/10/19 - )
","Calgary Rocky Ridge (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Khalid, Iqra","MP (2015/10/19 - )
","Mississauga--Erin Mills (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Khera, Kamal","MP (2015/10/19 - )
","Brampton West (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Kitchen, Robert Gordon","MP (2015/10/19 - )
","Souris--Moose Mountain (2015/10/19 - )
","Saskatchewan
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Kmiec, Tom","MP (2015/10/19 - )
","Calgary Shepard (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Kwan, Jenny Wai Ching","MP (2015/10/19 - )
","Vancouver East (2015/10/19 - )
","British Columbia
",F,"New Democratic Party (2015/10/19 - )
"
"Lametti, David","MP (2015/10/19 - )
","LaSalle--Émard--Verdun (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Lauzon, Stéphane","MP (2015/10/19 - )
","Argenteuil--La Petite-Nation (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Lebouthillier, Diane","MP (2015/10/19 - )
","Gaspésie--Les Îles-de-la-Madeleine (2015/10/19 - )
","Quebec
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Lefebvre, Paul","MP (2015/10/19 - )
","Sudbury (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Liepert, Ron","MP (2015/10/19 - )
","Calgary Signal Hill (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Lightbound, Joël","MP (2015/10/19 - )
","Louis-Hébert (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Long, Wayne","MP (2015/10/19 - )
","Saint John--Rothesay (2015/10/19 - )
","New Brunswick
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Longfield, Lloyd","MP (2015/10/19 - )
","Guelph (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"MacGregor, Alistair","MP (2015/10/19 - )
","Cowichan--Malahat--Langford (2015/10/19 - )
","British Columbia
",M,"New Democratic Party (2015/10/19 - )
"
"MacKinnon, Steven","MP (2015/10/19 - )
","Gatineau (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Maloney, James","MP (2015/10/19 - )
","Etobicoke--Lakeshore (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Marcil, Simon","MP (2015/10/19 - )
","Mirabel (2015/10/19 - )
","Quebec
",M,"Bloc Québécois (2018/06/06 - )
Groupe parlementaire québécois  (2018/02/28 - 2018/06/05)
Bloc Québécois (2015/10/19 - 2018/02/27)
"
"May, Bryan","MP (2015/10/19 - )
","Cambridge (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"McCauley, Kelly","MP (2015/10/19 - )
","Edmonton West (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"McCrimmon, Karen","MP (2015/10/19 - )
","Kanata--Carleton (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"McDonald, Ken","MP (2015/10/19 - )
","Avalon (2015/10/19 - )
","Newfoundland and Labrador
",M,"Liberal Party of Canada (2015/10/19 - )
"
"McKenna, Catherine","MP (2015/10/19 - )
","Ottawa Centre (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"McKinnon, Ron","MP (2015/10/19 - )
","Coquitlam--Port Coquitlam (2015/10/19 - )
","British Columbia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"McLeod, Michael","MP (2015/10/19 - )
","Northwest Territories (2015/10/19 - )
","Northwest Territories
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Mendicino, Marco","MP (2015/10/19 - )
","Eglinton--Lawrence (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Miller, Marc","MP (2015/10/19 - )
","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Monsef, Maryam","MP (2015/10/19 - )
","Peterborough--Kawartha (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Morrissey, Robert","MP (2015/10/19 - )
","Egmont (2015/10/19 - )
","Prince Edward Island
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Nater, John","MP (2015/10/19 - )
","Perth--Wellington (2015/10/19 - )
","Ontario
",M,"Conservative Party of Canada (2015/10/19 - )
"
"O'Connell, Jennifer","MP (2015/10/19 - )
","Pickering--Uxbridge (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"O'Regan, Seamus","MP (2015/10/19 - )
","St. John's South--Mount Pearl (2015/10/19 - )
","Newfoundland and Labrador
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Paul-Hus, Pierre","MP (2015/10/19 - )
","Charlesbourg--Haute-Saint-Charles (2015/10/19 - )
","Quebec
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Pauzé, Monique","MP (2015/10/19 - )
","Repentigny (2015/10/19 - )
","Quebec
",F,"Bloc Québécois (2018/09/17 - )
Québec debout (2018/06/06 - 2018/09/16)
Groupe parlementaire québécois  (2018/02/28 - 2018/06/05)
Bloc Québécois (2015/10/19 - 2018/02/27)
"
"Petitpas Taylor, Ginette","MP (2015/10/19 - )
","Moncton--Riverview--Dieppe (2015/10/19 - )
","New Brunswick
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Qualtrough, Carla","MP (2015/10/19 - )
","Delta (2015/10/19 - )
","British Columbia
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Rayes, Alain","MP (2015/10/19 - )
","Richmond--Arthabaska (2015/10/19 - )
","Quebec
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Robillard, Yves","MP (2015/10/19 - )
","Marc-Aurèle-Fortin (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Romanado, Sherry","MP (2015/10/19 - )
","Longueuil--Charles-LeMoyne (2015/10/19 - )
","Quebec
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Sahota, Ruby","MP (2015/10/19 - )
","Brampton North (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Saini, Raj","MP (2015/10/19 - )
","Kitchener Centre (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Sajjan, Harjit Singh","MP (2015/10/19 - )
","Vancouver South (2015/10/19 - )
","British Columbia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Samson, Darrell","MP (2015/10/19 - )
","Sackville--Preston--Chezzetcook (2015/10/19 - )
","Nova Scotia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Sangha, Ramesh","MP (2015/10/19 - )
","Brampton Centre (2015/10/19 - )
","Ontario
",M,"Independent (2021/01/25 - )
Liberal Party of Canada (2015/10/19 - 2021/01/24)
"
"Sarai, Randeep","MP (2015/10/19 - )
","Surrey Centre (2015/10/19 - )
","British Columbia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Saroya, Bob","MP (2015/10/19 - )
","Markham--Unionville (2015/10/19 - )
","Ontario
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Schiefke, Peter","MP (2015/10/19 - )
","Vaudreuil--Soulanges (2015/10/19 - )
","Quebec
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Schmale, Jamie","MP (2015/10/19 - )
","Haliburton--Kawartha Lakes--Brock (2015/10/19 - )
","Ontario
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Schulte, Deborah","MP (2015/10/19 - )
","King--Vaughan (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Serré, Marc G.","MP (2015/10/19 - )
","Nickel Belt (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Shanahan, Brenda","MP (2015/10/19 - )
","Châteauguay--Lacolle (2015/10/19 - )
","Quebec
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Sheehan, Terry","MP (2015/10/19 - )
","Sault Ste. Marie (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Shields, Martin","MP (2015/10/19 - )
","Bow River (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Sidhu, Sonia","MP (2015/10/19 - )
","Brampton South (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Sikand, Gagan","MP (2015/10/19 - )
","Mississauga--Streetsville (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Sorbara, Francesco","MP (2015/10/19 - )
","Vaughan--Woodbridge (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Spengemann, Sven","MP (2015/10/19 - )
","Mississauga--Lakeshore (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Ste-Marie, Gabriel","MP (2015/10/19 - )
","Joliette (2015/10/19 - )
","Quebec
",M,"Bloc Québécois (2018/09/17 - )
Québec debout (2018/06/06 - 2018/09/16)
Groupe parlementaire québécois  (2018/02/28 - 2018/06/05)
Bloc Québécois (2015/10/19 - 2018/02/27)
"
"Stubbs, Shannon","MP (2015/10/19 - )
","Lakeland (2015/10/19 - )
","Alberta
",F,"Conservative Party of Canada (2015/10/19 - )
"
"Tabbara, Marwan","MP (2015/10/19 - )
","Kitchener South--Hespeler (2015/10/19 - )
","Ontario
",M,"Independent (2020/06/06 - )
Liberal Party of Canada (2015/10/19 - 2020/06/05)
"
"Tassi, Filomena","MP (2015/10/19 - )
","Hamilton West--Ancaster--Dundas (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Thériault, Luc","MP (2015/10/19 - )
","Montcalm (2015/10/19 - )
","Quebec
",M,"Bloc Québécois (2018/09/17 - )
Québec debout (2018/06/06 - 2018/09/16)
Groupe parlementaire québécois  (2018/02/28 - 2018/06/05)
Bloc Québécois (2015/10/19 - 2018/02/27)
"
"Vandal, Daniel","MP (2015/10/19 - )
","Saint Boniface--Saint Vital (2015/10/19 - )
","Manitoba
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Vandenbeld, Anita","MP (2015/10/19 - )
","Ottawa West--Nepean (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Vecchio, Karen","MP (2015/10/19 - )
","Elgin--Middlesex--London (2015/10/19 - )
","Ontario
",F,"Conservative Party of Canada (2015/10/19 - )
"
"Viersen, Arnold","MP (2015/10/19 - )
","Peace River--Westlock (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Virani, Arif","MP (2015/10/19 - )
","Parkdale--High Park (2015/10/19 - )
","Ontario
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Wagantall, Cathay","MP (2015/10/19 - )
","Yorkton--Melville (2015/10/19 - )
","Saskatchewan
",F,"Conservative Party of Canada (2015/10/19 - )
"
"Waugh, Kevin","MP (2015/10/19 - )
","Saskatoon--Grasswood (2015/10/19 - )
","Saskatchewan
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Webber, Len","MP (2015/10/19 - )
","Calgary Confederation (2015/10/19 - )
","Alberta
",M,"Conservative Party of Canada (2015/10/19 - )
"
"Wilkinson, Jonathan","MP (2015/10/19 - )
","North Vancouver (2015/10/19 - )
","British Columbia
",M,"Liberal Party of Canada (2015/10/19 - )
"
"Wilson-Raybould, Jody","MP (2015/10/19 - )
","Vancouver Granville (2015/10/19 - )
","British Columbia
",F,"Independent (2019/04/03 - )
Liberal Party of Canada (2015/10/19 - 2019/04/02)
"
"Young, Kate","MP (2015/10/19 - )
","London West (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Zahid, Salma","MP (2015/10/19 - )
","Scarborough Centre (2015/10/19 - )
","Ontario
",F,"Liberal Party of Canada (2015/10/19 - )
"
"Dubourg, Emmanuel","MP (2013/11/25 - )
","Bourassa (2013/11/25 - )
","Quebec
",M,"Liberal Party of Canada (2013/11/25 - )
"
